business_information_raw,Name,Contact,Phone,Fax,Email,Website,Location,business_information_addl,Ownership Text,Owner African American,Owner Hispanic,Owner Asian,Owner Veteran,Owner Female,Business Description,Certification Information,page_id,url,Locations
"
Business Information
Name: Diamond Medical Staffing

This is an African American-Owned Business


Contact: Kenny Wyatt

Phone: 1-866-687-7309

Fax: None

Email: kennywyatt@diamondmedicalstaffing.org
Website: http://diamondmedicalstaffing.org

Location: 719 E. London Ave, Peoria Heights IL 61616",Diamond Medical Staffing,Kenny Wyatt,1-866-687-7309,None,kennywyatt@diamondmedicalstaffing.org,http://diamondmedicalstaffing.org,"719 E. London Ave, Peoria Heights IL 61616","n
Name: Diamond Medical Staffing

This is an African American-Owned Business


Contact: Kenny Wyatt

Phone: 1-866-687-7309

Fax: None

Email: kennywyatt@diamondmedicalstaffing.org
Website: http://diamondmedicalstaffing.org

Location: 719 E. London Ave, Peoria Heights IL 61616",African American,True,False,False,False,False,We are a medical staffing agency that offers licensed medical staff to facilities with staffing issues. We are a local company with a licensed practical nurse as the owner operator. ,"Peoria - MBE certification expiring on August 10th, 2025",88530,https://www.eprismsoft.com/business/show?seq=88530,
"
Business Information
Name: Drummond Construction . LLC

This is an African American-Owned Business


Contact: Charles Drummond

Phone: 309-643-2757

Fax: None

Email: drummondcharles9@gmail.com
Website: None

Location: 1609 S Griswold, Peoria IL 61605",Drummond Construction . LLC,Charles Drummond,309-643-2757,None,drummondcharles9@gmail.com,None,"1609 S Griswold, Peoria IL 61605","n
Name: Drummond Construction . LLC

This is an African American-Owned Business


Contact: Charles Drummond

Phone: 309-643-2757

Fax: None

Email: drummondcharles9@gmail.com
Website: None

Location: 1609 S Griswold, Peoria IL 61605",African American,True,False,False,False,False,"Drummond Construction. LLC is a construction business that provides planning, designing, or building of sewage treatment works projects, stormwater treatment projects, or nonpoint source projects. Construction activities include, but are not limited to, the following: Mowing, snow removal, HVAC and energy efficient installation. Assistance and weatherization support for nonprofits organization are also provided for youth and adults.   ","Peoria - MBE certification expiring on March 22nd, 2026",88738,https://www.eprismsoft.com/business/show?seq=88738,
"
Business Information
Name: Each1 Reach1 Peoria

This is an African American Female-Owned Business


Contact: Stephanie Irving

Phone: 309-213-0837

Fax: None

Email: each1reach1peoria@gmail.com
Website: https://www.each1reach1peoria.com/

Location: 6407 N Devonshire Dr, Peoria IL 61615",Each1 Reach1 Peoria,Stephanie Irving,309-213-0837,None,each1reach1peoria@gmail.com,https://www.each1reach1peoria.com/,"6407 N Devonshire Dr, Peoria IL 61615","n
Name: Each1 Reach1 Peoria

This is an African American Female-Owned Business


Contact: Stephanie Irving

Phone: 309-213-0837

Fax: None

Email: each1reach1peoria@gmail.com
Website: https://www.each1reach1peoria.com/

Location: 6407 N Devonshire Dr, Peoria IL 61615",African American Female,True,False,False,False,True,"Perform community outreach to disadvantaged families with mentoring, food, clothing, and assistance to avoid unwanted pregnancy or sexually transmitted diseases.","Peoria - MBE certification expiring on August 10th, 2025
Peoria - WBE certification expiring on August 10th, 2025",88523,https://www.eprismsoft.com/business/show?seq=88523,
"
Business Information
Name: Equity Collaborative LLC

This is an African American Female-Owned Business


Contact: Chasity Wells-Armstrong

Phone: 6303439775

Fax: None

Email: equitycollaborativellc@gmail.com
Website: http://equitycollaborativellc.com

Location: 2 Plaza Drive PO Box 5555, Woodridge IL 60517",Equity Collaborative LLC,Chasity Wells-Armstrong,6303439775,None,equitycollaborativellc@gmail.com,http://equitycollaborativellc.com,"2 Plaza Drive PO Box 5555, Woodridge IL 60517","n
Name: Equity Collaborative LLC

This is an African American Female-Owned Business


Contact: Chasity Wells-Armstrong

Phone: 6303439775

Fax: None

Email: equitycollaborativellc@gmail.com
Website: http://equitycollaborativellc.com

Location: 2 Plaza Drive PO Box 5555, Woodridge IL 60517",African American Female,True,False,False,False,True,"Provides assessments for local government entities, organizations, and small businesses from a strengths-based perspective, framework of Diversity, Equity & Inclusion (DEI), and trauma-informed care.  Works with clients to create customized plans to enhance employee performance and service delivery. Provides training, coaching, and consulting services for individuals and teams.","Decatur - WBE certification expiring on June 8th, 2026
Decatur - MBE certification expiring on June 8th, 2026
Champaign - WBE certification expiring on June 8th, 2026
Champaign - MBE certification expiring on June 8th, 2026
Peoria - MBE certification expiring on June 21st, 2026",77160,https://www.eprismsoft.com/business/show?seq=77160,
"
Business Information
Name: Ethel Elizabeth Pates Beauty of Gifts

This is an African American Female-Owned Business


Contact: Ethel Elizabeth Pates

Phone: 309-430-9880

Fax: None

Email: ethelpates7@gmail.com
Website: http://www.yourlivesmatteroutreachministry.webador.com

Location: 1007 E Melbourne Avenue, Peoria IL 61603",Ethel Elizabeth Pates Beauty of Gifts,Ethel Elizabeth Pates,309-430-9880,None,ethelpates7@gmail.com,http://www.yourlivesmatteroutreachministry.webador.com,"1007 E Melbourne Avenue, Peoria IL 61603","n
Name: Ethel Elizabeth Pates Beauty of Gifts

This is an African American Female-Owned Business


Contact: Ethel Elizabeth Pates

Phone: 309-430-9880

Fax: None

Email: ethelpates7@gmail.com
Website: http://www.yourlivesmatteroutreachministry.webador.com

Location: 1007 E Melbourne Avenue, Peoria IL 61603",African American Female,True,False,False,False,True,"Custom made gift baskets, memorial wreaths, and silk flower arrangements for any occasion","Peoria - MBE certification expiring on August 10th, 2025
Peoria - WBE certification expiring on August 10th, 2025",88521,https://www.eprismsoft.com/business/show?seq=88521,
"
Business Information
Name: Fire & Ice - Royalty's Fun Ice

This is an African American Female-Owned Business


Contact: ShaNara Harris

Phone: 3094203475

Fax: None

Email: royaltysfunice@gmail.com
Website: https://www.facebook.com/FireFunIce

Location: 1906 W Detweiller Dr Suite 205, Peoria IL 61615",Fire & Ice - Royalty's Fun Ice,ShaNara Harris,3094203475,None,royaltysfunice@gmail.com,https://www.facebook.com/FireFunIce,"1906 W Detweiller Dr Suite 205, Peoria IL 61615","n
Name: Fire & Ice - Royalty's Fun Ice

This is an African American Female-Owned Business


Contact: ShaNara Harris

Phone: 3094203475

Fax: None

Email: royaltysfunice@gmail.com
Website: https://www.facebook.com/FireFunIce

Location: 1906 W Detweiller Dr Suite 205, Peoria IL 61615",African American Female,True,False,False,False,True,"We create iced beverages that are like no other. From individuals orders to events, we have you covered. Ask about of drinks, treats, carnival style food and more. We are the home  of Fun Ice, Adult Ice, Nothing But The Dogs, Taste Seasoning and more.","Peoria - SBA expiring on August 10th, 2025
Peoria - MBE certification expiring on August 10th, 2025
Peoria - WBE certification expiring on August 10th, 2025",88522,https://www.eprismsoft.com/business/show?seq=88522,
"
Business Information
Name: Foundational Skills Progress thru Projects, LLC




Contact: Denise M. Neumann

Phone: None

Fax: None

Email: None
Website: None

Location: 1754 N. Main Street, Washington IL 61571","Foundational Skills Progress thru Projects, LLC",Denise M. Neumann,None,None,None,None,"1754 N. Main Street, Washington IL 61571","n
Name: Foundational Skills Progress thru Projects, LLC




Contact: Denise M. Neumann

Phone: None

Fax: None

Email: None
Website: None

Location: 1754 N. Main Street, Washington IL 61571",,False,False,False,False,False,"Foundational Skills Progress thru Projects (FSPP) is a 16-week Life Construction Intervention Development Program targeted towards at-risk young adults ages 18 to 26. The program is designed to engage, empower, and support each program participant with a set of foundational skills to become individuals with the mind sets and vocational skill sets needed to succeed in life. Through the completion of community service projects, basic hands-on home maintenance and repair services skills development, peer collaboration, Jobs for Life exercises, and successful completion of the five (5) “Foundational Skills” core components: 1.) Conflict Management, 2.) Integrity & Ethics, 3.) Money Management, 4.) Teamwork & Collaboration, and 5.) Time Management, and adult mentoring. Through FSPP program participants will transform learning to become gainfully employed, self-supporting, productive individuals. Each 16-week program session will include several speaker presentations and field trips.","Peoria - SBA expiring on August 31st, 2025
Peoria - MBE certification expiring on September 1st, 2025
Peoria - WBE certification expiring on September 1st, 2025",88596,https://www.eprismsoft.com/business/show?seq=88596,
"
Business Information
Name: G.A. Rich & Sons, Inc.

This is a Female-Owned Business


Contact: Tammy Rich Stimson

Phone: 309-447-6231

Fax: 309-447-6500

Email: None
Website: http://garich.com

Location: 204 S. Perry St., Deer Creek IL 61733","G.A. Rich & Sons, Inc.",Tammy Rich Stimson,309-447-6231,309-447-6500,None,http://garich.com,"204 S. Perry St., Deer Creek IL 61733","n
Name: G.A. Rich & Sons, Inc.

This is a Female-Owned Business


Contact: Tammy Rich Stimson

Phone: 309-447-6231

Fax: 309-447-6500

Email: None
Website: http://garich.com

Location: 204 S. Perry St., Deer Creek IL 61733",Female,False,False,False,False,True,"Mechanical Contractor specializing in Commercial Plumbing, Process Piping, Site Utilities, Hydro Excavation and Line Stops","Champaign - WBE certification expiring on September 14th, 2025
Peoria - WBE certification expiring on September 29th, 2025",88608,https://www.eprismsoft.com/business/show?seq=88608,
"
Business Information
Name: Hairadox LLC

This is an African American Female Veteran-Owned Business


Contact: Aishah Bilal-Ali

Phone: 3093393465

Fax: None

Email: hairadox1@gmail.com
Website: http://www.hairadox.com

Location: 7012 N AYCLIFFE DRIVE, PEORIA IL 61614",Hairadox LLC,Aishah Bilal-Ali,3093393465,None,hairadox1@gmail.com,http://www.hairadox.com,"7012 N AYCLIFFE DRIVE, PEORIA IL 61614","n
Name: Hairadox LLC

This is an African American Female Veteran-Owned Business


Contact: Aishah Bilal-Ali

Phone: 3093393465

Fax: None

Email: hairadox1@gmail.com
Website: http://www.hairadox.com

Location: 7012 N AYCLIFFE DRIVE, PEORIA IL 61614",African American Female Veteran,True,False,False,True,True,"Hairadox LLC is a certified SDVOSB and EDWOSB that provides training, education, recreational services, cosmetic arts, office supplies and safety products.","Peoria - SBA expiring on August 10th, 2025
Peoria - MBE certification expiring on August 18th, 2025
Peoria - WBE certification expiring on August 23rd, 2025",88488,https://www.eprismsoft.com/business/show?seq=88488,
"
Business Information
Name: Heart Of Illinois Cleaning  LLC

This is an African American Female-Owned Business


Contact: Dashina Austin

Phone: 309-431-1720

Fax: None

Email: ofilhearts@gmail.com
Website: http://cleaningheart.com

Location: 4022 W Courtland St, Peoria IL 61615",Heart Of Illinois Cleaning  LLC,Dashina Austin,309-431-1720,None,ofilhearts@gmail.com,http://cleaningheart.com,"4022 W Courtland St, Peoria IL 61615","n
Name: Heart Of Illinois Cleaning  LLC

This is an African American Female-Owned Business


Contact: Dashina Austin

Phone: 309-431-1720

Fax: None

Email: ofilhearts@gmail.com
Website: http://cleaningheart.com

Location: 4022 W Courtland St, Peoria IL 61615",African American Female,True,False,False,False,True,Janitorial Cleaning Service ,"Decatur - WBE certification expiring on August 25th, 2025
Decatur - MBE certification expiring on August 25th, 2025
Champaign - WBE certification expiring on August 25th, 2025
Champaign - MBE certification expiring on August 25th, 2025
Champaign - SBA expiring on August 25th, 2025
Peoria - SBA expiring on August 25th, 2025
Peoria - MBE certification expiring on September 1st, 2025
Peoria - WBE certification expiring on September 1st, 2025",47188,https://www.eprismsoft.com/business/show?seq=47188,
"
Business Information
Name: Higher Calling Enterprises, LLC

This is an African American-Owned Business


Contact: Barry Anderson

Phone: 309-360-5500

Fax: None

Email: hce4safety@gmail.com
Website: None

Locations: 
801 W Main, Peoria IL 61606
3601 W Castile, Peoria IL 61615","Higher Calling Enterprises, LLC",Barry Anderson,309-360-5500,None,hce4safety@gmail.com,None,,"n
Name: Higher Calling Enterprises, LLC

This is an African American-Owned Business


Contact: Barry Anderson

Phone: 309-360-5500

Fax: None

Email: hce4safety@gmail.com
Website: None

Locations: 
801 W Main, Peoria IL 61606
3601 W Castile, Peoria IL 61615",African American,True,False,False,False,False,"Firearm instruction (safety and license) training.

Voiceover for commercial, training, etc.","Peoria - MBE certification expiring on August 10th, 2025",88528,https://www.eprismsoft.com/business/show?seq=88528,
"
Business Information
Name: Illini Supply, Inc.

This is a Female-Owned Business


Contact: Deborah Born

Phone: 217-877-6551

Fax: 217-877-6646

Email: customerservice@illinisupply.com
Website: http://www.illinisupply.com

Location: 111 Illini Drive, Forsyth IL 62535","Illini Supply, Inc.",Deborah Born,217-877-6551,217-877-6646,customerservice@illinisupply.com,http://www.illinisupply.com,"111 Illini Drive, Forsyth IL 62535","n
Name: Illini Supply, Inc.

This is a Female-Owned Business


Contact: Deborah Born

Phone: 217-877-6551

Fax: 217-877-6646

Email: customerservice@illinisupply.com
Website: http://www.illinisupply.com

Location: 111 Illini Drive, Forsyth IL 62535",Female,False,False,False,False,True,Contract School and Office Furnishings,"Decatur - WBE certification expiring on December 20th, 2025
Champaign - WBE certification expiring on December 21st, 2025
Peoria - WBE certification expiring on January 23rd, 2026",623,https://www.eprismsoft.com/business/show?seq=623,
"
Business Information
Name: Interservices Company of Illinois

This is a Hispanic-Owned Business


Contact: HEBER L VIDAL

Phone: 3092149247

Fax: None

Email: interservices@comcast.net
Website: None

Location: 4723 EDGEWOOD DR, PEORIA IL 61615",Interservices Company of Illinois,HEBER L VIDAL,3092149247,None,interservices@comcast.net,None,"4723 EDGEWOOD DR, PEORIA IL 61615","n
Name: Interservices Company of Illinois

This is a Hispanic-Owned Business


Contact: HEBER L VIDAL

Phone: 3092149247

Fax: None

Email: interservices@comcast.net
Website: None

Location: 4723 EDGEWOOD DR, PEORIA IL 61615",Hispanic,False,True,False,False,False,Language translation and interpretation services,"Peoria - MBE certification expiring on September 19th, 2025",88536,https://www.eprismsoft.com/business/show?seq=88536,
"
Business Information
Name: iSincerelyWish Candle Co

This is an African American Female-Owned Business


Contact: iSincerelyWish Candles Co

Phone: 7732972317

Fax: None

Email: isincerelywishcandles@gmail.com
Website: http://isincerelywishcandles.com

Location: 2721 W Nebraska Ave, Peoria IL 61604",iSincerelyWish Candle Co,iSincerelyWish Candles Co,7732972317,None,isincerelywishcandles@gmail.com,http://isincerelywishcandles.com,"2721 W Nebraska Ave, Peoria IL 61604","n
Name: iSincerelyWish Candle Co

This is an African American Female-Owned Business


Contact: iSincerelyWish Candles Co

Phone: 7732972317

Fax: None

Email: isincerelywishcandles@gmail.com
Website: http://isincerelywishcandles.com

Location: 2721 W Nebraska Ave, Peoria IL 61604",African American Female,True,False,False,False,True,"iSincerelyWish Candle Company is an Illinois-based fragrance and 100% pure soy wax candle company owned, operated, and hand-poured by Lanada Cunningham. Our candles are charged, cleansed, and sent to customers with positive intentions. Scented candles can help you relax, feel calm, energized, and productive.

The owner of iSincerelyWish Candle Co has decided to mix candle-making, a fun team building activity with fundraising, to help local organizations in the Central Illinois Area. The fundraising opportunity is open to any school, religious group, sports team, community organization, or charitable organization.

Our company also offers basic candle-making classes to the youth to teach them entry-level fundamentals of running their own candle company as young entrepreneurs. iSincerelyWish is here to help you Make Candles for your Cause!

If you enjoy natural aroma-driven mood enhancers, these candles are suitable for you!","Peoria - MBE certification expiring on August 10th, 2025
Peoria - WBE certification expiring on August 10th, 2025",88504,https://www.eprismsoft.com/business/show?seq=88504,
"
Business Information
Name: ITS A VIBE SELFIE STUDIO

This is an African American-Owned Business


Contact: Johnny Jorden

Phone: 30099960725

Fax: None

Email: info@itsavibepeoria.com
Website: http://www.itsavibepeoria.com

Location: 2200 W War Memorial Drive CL02, Peoria IL 61613",ITS A VIBE SELFIE STUDIO,Johnny Jorden,30099960725,None,info@itsavibepeoria.com,http://www.itsavibepeoria.com,"2200 W War Memorial Drive CL02, Peoria IL 61613","n
Name: ITS A VIBE SELFIE STUDIO

This is an African American-Owned Business


Contact: Johnny Jorden

Phone: 30099960725

Fax: None

Email: info@itsavibepeoria.com
Website: http://www.itsavibepeoria.com

Location: 2200 W War Memorial Drive CL02, Peoria IL 61613",African American,True,False,False,False,False,"We are an interactive do it yourself content creation studio where customers can utilize over 26 different themed booths to take picture, create brand content, social media content.","Peoria - MBE certification expiring on August 10th, 2025",88500,https://www.eprismsoft.com/business/show?seq=88500,
"
Business Information
Name: JB Transportation and Logistics, LLC

This is an African American Female-Owned Business


Contact: Christina Benton

Phone: 16304742720

Fax: None

Email: info@jbtransportlog.com
Website: http://www.jbtransportlog.com

Locations: 
501 W Bradley Ave, Champaign IL 61820
PO Box 931, Champaign IL 61824","JB Transportation and Logistics, LLC",Christina Benton,16304742720,None,info@jbtransportlog.com,http://www.jbtransportlog.com,,"n
Name: JB Transportation and Logistics, LLC

This is an African American Female-Owned Business


Contact: Christina Benton

Phone: 16304742720

Fax: None

Email: info@jbtransportlog.com
Website: http://www.jbtransportlog.com

Locations: 
501 W Bradley Ave, Champaign IL 61820
PO Box 931, Champaign IL 61824",African American Female,True,False,False,False,True,"The primary functions of this business are: Project Management, Freight Movement, Freight Logistics, Carrier Support Services, sub- contracting.
","Decatur - WBE certification expiring on June 11th, 2025
Decatur - MBE certification expiring on May 2nd, 2025
Champaign - WBE certification expiring on May 2nd, 2025
Champaign - MBE certification expiring on May 2nd, 2025
Champaign - SBA expiring on July 19th, 2025
Peoria - SBA expiring on October 20th, 2025
Peoria - MBE certification expiring on September 1st, 2025
Peoria - WBE certification expiring on September 1st, 2025",87463,https://www.eprismsoft.com/business/show?seq=87463,
